rgn_id,mean,rgn_name,eez_iso3,territory,admin_rgn_id,admin_country_name,Notes
1,26.424636144037464,Cocos Islands,CCK,yes,16,Australia,
2,1815.3226732623075,Christmas Island,CXR,yes,16,Australia,
3,8212.511520870168,Norfolk Island,NFK,yes,16,Australia,
4,0,Macquarie Island,AUS,yes,16,Australia,
5,6622.40863953888,New Caledonia,NCL,yes,179,France,
6,8609.337401676226,Vanuatu,VUT,no,6,Vanuatu,
7,11512.55104756965,Solomon Islands,SLB,no,7,Solomon Islands,
8,2248.238937832907,Palau,PLW,no,8,Palau,
9,2049.020616241873,Micronesia,FSM,no,9,Micronesia,
10,15301.674141402793,Nauru,NRU,no,10,Nauru,
11,1014.2191151443201,Marshall Islands,MHL,no,11,Marshall Islands,
12,0,Wake Island,UMI,yes,163,United States,
13,18694.65885575937,Northern Mariana Islands and Guam,MNP,yes,163,United States,
14,1163763.415127778,Taiwan,TWN,no,14,Taiwan,
15,179766.22039321047,Philippines,PHL,no,15,Philippines,
16,111017.23822240962,Australia,AUS,no,16,Australia,
17,70020.8515248781,Papua New Guinea,PNG,no,17,Papua New Guinea,
18,22734.89552957545,Fiji,FJI,no,18,Fiji,
19,268.6910579491832,Tuvalu,TUV,no,19,Tuvalu,
20,490996.2412296487,South Korea,KOR,no,20,South Korea,
21,2146766.347578026,North Korea,PRK,no,21,North Korea,
24,70372.47867461992,Cambodia,KHM,no,24,Cambodia,
25,276066.03234514303,Thailand,THA,no,25,Thailand,
26,11675.826943580272,Andaman and Nicobar,IND,yes,203,India,
28,137760.37901767285,Comoro Islands,COM,no,28,Comoro Islands,
29,69322.97403459979,Mayotte,MYT,yes,179,France,
30,0,Glorioso Islands,ATF,yes,179,France,
31,11242.691367032046,Seychelles,SYC,no,31,Seychelles,
32,53489.700424769704,Reunion,REU,yes,179,France,
33,0,Juan de Nova Island,ATF,yes,179,France,
34,0,Bassas da India,ATF,yes,179,France,
35,0,Ile Europa,ATF,yes,179,France,
36,0,Ile Tromelin,ATF,yes,179,France,
37,43989.428217553475,Mauritius,MUS,no,37,Mauritius,
38,0,British Indian Ocean Territory,IOT,yes,180,United Kingdom,
39,1566.8579968029494,Maldives,MDV,no,39,Maldives,
40,906148.9032204,Sri Lanka,LKA,no,40,Sri Lanka,
41,1696158.2748566407,Mozambique,MOZ,no,41,Mozambique,
42,273235.8745726829,Madagascar,MDG,no,42,Madagascar,
43,2586950.843199381,Kenya,KEN,no,43,Kenya,
44,818350.3792613593,Somalia,SOM,no,44,Somalia,
45,19068.486145961968,Eritrea,ERI,no,45,Eritrea,
46,249033.52925231602,Djibouti,DJI,no,46,Djibouti,
47,413868.43562518206,Yemen,YEM,no,47,Yemen,
48,87551.7648821739,Oman,OMN,no,48,Oman,
49,330368.65068333456,Sudan,SDN,no,49,Sudan,
50,193475.46264615032,Saudi Arabia,SAU,no,50,Saudi Arabia,
51,676933.529538057,Kuwait,KWT,no,51,Kuwait,
52,153313.88001503452,Bahrain,BHR,no,52,Bahrain,
53,9997243.921667421,Pakistan,PAK,no,53,Pakistan,
54,349326.0586241908,United Arab Emirates,ARE,no,54,United Arab Emirates,
55,22066.626450291347,Azores,PRT,yes,183,Portugal,
56,17433.067132646476,Cape Verde,CPV,no,56,Cape Verde,
57,67345.00410429944,Madeira,PRT,yes,183,Portugal,
58,345111.59251978237,Canary Islands,ESP,yes,182,Spain,
59,1186914.8796939438,Belgium,BEL,no,59,Belgium,
60,1178362.3016055045,Gibraltar,GIB,yes,180,United Kingdom,
61,527508.8480768177,Tunisia,TUN,no,61,Tunisia,
62,1445253.4559007732,Morocco,MAR,no,62,Morocco,
63,19960.901445225914,Western Sahara,ESH,yes,62,Morocco,
64,593690.6007974285,Mauritania,MRT,no,64,Mauritania,
65,2061622.7920613927,Gambia,GMB,no,65,Gambia,
66,2347134.956760527,Senegal,SEN,no,66,Senegal,
67,199233.32901099575,Libya,LBY,no,67,Libya,
68,665008.5225216006,Malta,MLT,no,68,Malta,
69,1017967.640598287,Latvia,LVA,no,69,Latvia,
70,140507.73127577233,Estonia,EST,no,70,Estonia,
71,479157.9470690282,Bulgaria,BGR,no,71,Bulgaria,
72,18357862.98736273,Romania,ROU,no,72,Romania,
73,285932.37897318724,Russia,RUS,no,73,Russia,
74,832485.7792706233,Georgia,GEO,no,74,Georgia,
75,5199049.871143372,Ukraine,UKR,no,75,Ukraine,
76,1636394.1270454358,Turkey,TUR,no,76,Turkey,
77,1181329.6844495952,Syria,SYR,no,77,Syria,
78,1294636.1012202278,Lebanon,LBN,no,78,Lebanon,
79,8564710.844867667,Israel,ISR,no,79,Israel,
80,315094.2498463796,Greece,GRC,no,80,Greece,
81,43782.953150367284,Cyprus,CYP,no,81,Cyprus,
82,1763070.1358521509,Albania,ALB,no,82,Albania,
84,3043598.919822132,Algeria,DZA,no,84,Algeria,
85,75.33484548778203,Ascension,ASC,yes,180,United Kingdom,
86,69.72919579171516,Saint Helena,SHN,yes,180,United Kingdom,
88,20.783705811189467,Tristan da Cunha,TAA,yes,180,United Kingdom,
89,0,South Georgia and the South Sandwich Islands,SGS,yes,180,United Kingdom,
90,0,Prince Edward Islands,ZAF,yes,102,South Africa,
91,0,Crozet Islands,ATF,yes,179,France,
92,0,Amsterdam Island and Saint Paul Island,ATF,yes,179,France,
93,0,Kerguelen Islands,ATF,yes,179,France,
94,0,Heard and McDonald Islands,HMD,yes,16,Australia,
95,51.267511644268964,Falkland Islands,FLK,yes,180,United Kingdom,
96,449717.050707074,Sierra Leone,SLE,no,96,Sierra Leone,
97,426854.11835626577,Liberia,LBR,no,97,Liberia,
98,965850.3934169279,Togo,TGO,no,98,Togo,
99,3419951.1452799905,Benin,BEN,no,99,Benin,
100,409043.8346560316,Republique du Congo,COG,no,100,Republique du Congo,
101,644706.5560212624,Namibia,NAM,no,101,Namibia,
102,777405.5093235687,South Africa,ZAF,no,102,South Africa,
103,40337.49818142691,Sao Tome and Principe,STP,no,103,Sao Tome and Principe,
104,188381.65214359143,Equatorial Guinea,GNQ,no,104,Equatorial Guinea,
105,0,Bouvet Island,BVT,yes,223,Norway,
106,4022315.1398893143,Ghana,GHA,no,106,Ghana,
107,0,Clipperton Island,CPT,yes,179,France,
108,57218.80950442612,Bermuda,BMU,yes,180,United Kingdom,
110,2549.4301165558213,Bahamas,BHS,no,110,Bahamas,
111,5314.136828770632,Turks and Caicos Islands,TCA,yes,180,United Kingdom,
112,157027.61410052166,Cuba,CUB,no,112,Cuba,
113,22222.90220291988,Cayman Islands,CYM,yes,180,United Kingdom,
114,726101.6611778894,Haiti,HTI,no,114,Haiti,
115,460345.0418993802,Dominican Republic,DOM,no,115,Dominican Republic,
116,250622.6574102315,Puerto Rico and Virgin Islands of the United States,PRI,yes,163,United States,
117,4635.214719963029,British Virgin Islands,VGB,yes,180,United Kingdom,
118,6186.525618459955,Anguilla,AIA,yes,180,United Kingdom,
119,22843.47940216251,Saint Kitts and Nevis,KNA,no,119,Saint Kitts and Nevis,
120,23063.680111985275,Antigua and Barbuda,ATG,no,120,Antigua and Barbuda,
121,10413.243667886612,Montserrat,MSR,yes,180,United Kingdom,
122,70522.94681344237,Saint Lucia,LCA,no,122,Saint Lucia,
123,57088.64790715124,Dominica,DMA,no,123,Dominica,
124,139788.3344381313,Barbados,BRB,no,124,Barbados,
125,30946.079140540045,Grenada,GRD,no,125,Grenada,
126,168123.17848308105,Trinidad and Tobago,TTO,no,126,Trinidad and Tobago,
127,31306.324555308816,Saint Vincent and the Grenadines,VCT,no,127,Saint Vincent and the Grenadines,
129,82118.12188570044,Panama,PAN,no,129,Panama,
130,369440.5872994084,Costa Rica,CRI,no,130,Costa Rica,
131,254876.7502771893,Nicaragua,NIC,no,131,Nicaragua,
132,899694.3969930497,Colombia,COL,no,132,Colombia,
133,558720.9139083446,Honduras,HND,no,133,Honduras,
134,1777355.942397638,El Salvador,SLV,no,134,El Salvador,
135,977221.7717958421,Mexico,MEX,no,135,Mexico,
136,2697685.4870477836,Guatemala,GTM,no,136,Guatemala,
137,83116.00922755506,Ecuador,ECU,no,137,Ecuador,
138,658086.653499022,Peru,PER,no,138,Peru,
139,525893.9912506043,Venezuela,VEN,no,139,Venezuela,
140,85503.35894668479,Guadeloupe and Martinique,GP-MQ,yes,179,France,
141,12028.236154991906,Faeroe Islands,FRO,yes,175,Denmark,
143,12758.487822098707,Iceland,ISL,no,143,Iceland,
144,12.502215237859826,Jan Mayen,SJM,yes,223,Norway,
145,69.68000644036712,Greenland,GRL,yes,175,Denmark,
146,2.226410103017419,Pitcairn,PCN,yes,180,United Kingdom,
147,1397.292930169493,French Polynesia,PYF,yes,179,France,
148,2256.9561970358145,Line Islands (Kiribati),KIR,yes,212,Kiribati,
149,0,Jarvis Island,UMI,yes,163,United States,
150,0,Palmyra Atoll,UMI,yes,163,United States,
151,6454.670880906426,American Samoa,ASM,yes,163,United States,
152,17673.61246593024,Samoa,WSM,no,152,Samoa,
153,1655.9128764902562,Cook Islands,COK,yes,162,New Zealand,
154,150.9162262290745,Niue,NIU,yes,162,New Zealand,
155,3426.148247656598,Tonga,TON,no,155,Tonga,
156,252.48792633996482,Tokelau,TKL,yes,162,New Zealand,
157,17.03824838259852,Phoenix Islands (Kiribati),KIR,yes,212,Kiribati,
158,0,Howland Island and Baker Island,UMI,yes,163,United States,
159,0,Johnston Atoll,UMI,yes,163,United States,
161,7024.02021373523,Wallis and Futuna,WLF,yes,179,France,
162,106651.9685205602,New Zealand,NZL,no,162,New Zealand,
163,596539.3786702413,United States,USA,no,163,United States,
164,38414.36008203049,Belize,BLZ,no,164,Belize,
166,393413.90214174474,Jamaica,JAM,no,166,Jamaica,
167,81325.32621431735,Guyana,GUY,no,167,Guyana,
168,21317.98658708567,Suriname,SUR,no,168,Suriname,
169,29990.5764640799,French Guiana,GUF,yes,179,France,
171,1016726.0247975325,Brazil,BRA,no,171,Brazil,
172,899994.2622836251,Argentina,ARG,no,172,Argentina,
173,6943070.429850581,Uruguay,URY,no,173,Uruguay,
174,36467.63012407384,Finland,FIN,no,174,Finland,
175,273909.15830113017,Denmark,DNK,no,175,Denmark,
176,1941686.607279805,Germany,DEU,no,176,Germany,
177,1711561.4087137934,Netherlands,NLD,no,177,Netherlands,
178,493597.970851215,Poland,POL,no,178,Poland,
179,1630103.5982249056,France,FRA,no,179,France,
180,756925.2127695009,United Kingdom,GBR,no,180,United Kingdom,
181,177357.59407078766,Ireland,IRL,no,181,Ireland,
182,1613351.864700801,Spain,ESP,no,182,Spain,
183,1519964.7143925603,Portugal,PRT,no,183,Portugal,
184,1898994.4592114338,Italy,ITA,no,184,Italy,
185,425631.9602272727,Monaco,MCO,no,185,Monaco,
186,852002.0324907784,Montenegro,MNE,no,186,Montenegro,
187,112905.00780590608,Croatia,HRV,no,187,Croatia,
188,1163211.6976293104,Slovenia,SVN,no,188,Slovenia,
189,4830077.607354839,Lithuania,LTU,no,189,Lithuania,
190,290284.9532179022,Qatar,QAT,no,190,Qatar,
191,953213.1751169134,Iran,IRN,no,191,Iran,
192,36457532.36413159,Iraq,IRQ,no,192,Iraq,
193,62423.78892782386,Guinea Bissau,GNB,no,193,Guinea Bissau,
194,282020.1714640164,Guinea,GIN,no,194,Guinea,
195,2458920.2680166415,Ivory Coast,CIV,no,195,Ivory Coast,
196,15356127.073640086,Nigeria,NGA,no,196,Nigeria,
197,1883638.477262014,Cameroon,CMR,no,197,Cameroon,
198,179517.88994284012,Gabon,GAB,no,198,Gabon,
199,70572290.57140511,Democratic Republic of the Congo,COD,no,199,Democratic Republic of the Congo,
200,1896594.8820663493,Angola,AGO,no,200,Angola,
202,700245.3735029531,Tanzania,TZA,no,202,Tanzania,
203,6194852.7813862935,India,IND,no,203,India,
204,23354643.055670656,Bangladesh,BGD,no,204,Bangladesh,
205,1091112.9037720773,Myanmar,MMR,no,205,Myanmar,
206,364274.12021829066,Malaysia,MYS,no,206,Malaysia,
207,572917.2887633423,Vietnam,VNM,no,207,Vietnam,
208,1912991.9709446775,Singapore,SGP,no,208,Singapore,
209,6757903.633673295,China,CHN,no,209,China,
210,894704.2170717749,Japan,JPN,no,210,Japan,
212,9072.500020709746,Gilbert Islands (Kiribati),KIR,no,212,Kiribati,
214,6578176.051372778,Egypt,EGY,no,214,Egypt,
215,565862.2113402062,Jordan,JOR,no,215,Jordan,
216,235878.54517244454,Indonesia,IDN,no,216,Indonesia,
218,18751.10049838427,Canada,CAN,no,218,Canada,
219,3287.922413884205,Saint Pierre and Miquelon,SPM,yes,179,France,
220,34096.63388671875,Sint Maarten,SXM,yes,177,Netherlands,
221,24637.670499434116,Northern Saint-Martin,MAF,yes,179,France,
222,206015.28076614725,Sweden,SWE,no,222,Sweden,
223,35705.043338474235,Norway,NOR,no,223,Norway,
224,72706.23905164657,Chile,CHL,no,224,Chile,
227,69099.4616893607,Jersey,JEY,yes,180,United Kingdom,
228,70703.200929873,Guernsey,GGY,yes,180,United Kingdom,
231,136586.9806221404,East Timor,TLS,no,231,East Timor,
232,507591.36079545453,Bosnia and Herzegovina,BIH,no,232,Bosnia and Herzegovina,
237,204698.13699266387,Oecussi Ambeno,TLS,yes,231,East Timor,
244,18019.341545415777,Curacao,CW,yes,177,Netherlands,
245,9104.217424034176,Bonaire,BQ,yes,177,Netherlands,
247,220819.72586711493,Brunei,BRN,no,247,Brunei,
248,513.4824978842664,Saba,BES,yes,177,Netherlands,
249,5541.663383979302,Sint Eustatius,ANT,yes,177,Netherlands,
250,24594.61919493998,Aruba,AW,yes,177,Netherlands,
