ISO3,country_name,open,septic,treated,total
ABW,Aruba,12774198.885456085,1427860.3763074875,14717329.25399208,28919388.515755653
AFG,Afghanistan,50503951884.98901,197961764.10974693,585239890.9136379,51287153540.0124
AGO,Angola,11699410568.975166,613506074.3455873,555354177.1982632,12868270820.519016
AIA,Anguilla,9950647.061767578,1184670.590637207,1935046.1038513184,13070363.756256104
ALA,Åland Islands,288658.9754638672,1586.5904426574707,784487.7583312988,1074733.3242378235
ALB,Albania,36991.3642578125,53668.0625,56403.978515625,147063.4052734375
AND,Andorra,23929702.277770996,40226660.16394043,70594727.28967285,134751089.73138428
ARE,United Arab Emirates,3395720479.8550014,1011173609.1333392,2355709259.542988,6762603348.531328
ARG,Argentina,16745847285.583988,5003078937.957109,8415158716.469362,30164084940.01046
ARM,Armenia,5411017820.201176,66831597.662074775,1465314713.8687844,6943164131.732035
ASM,American Samoa,13563661.494110107,9221009.438949585,1284987.258433342,24069658.191493034
ATG,Antigua & Barbuda,42601436.10620117,4695589.358642578,11000761.216064453,58297786.6809082
AUT,Austria,709015331.3343438,711625497.0732319,20209786381.186707,21630427209.594284
AZE,Azerbaijan,12725584935.82434,32751296.004553743,1652090533.5073748,14410426765.33627
BDI,Burundi,5112466910.623047,10282795.298610687,139407042.3537674,5262156748.275425
BEL,Belgium,562135097.9252558,522515853.2709093,25456858542.046825,26541509493.24299
BEN,Benin,6296499121.046326,13362765.545272827,186432960.27618122,6496294846.86778
BFA,Burkina Faso,18471709634.85437,39557116.951229095,387100459.1587448,18898367210.964344
BGD,Bangladesh,91564874493.27762,1702214926.6406398,2382265796.2858825,95649355216.20415
BGR,Bulgaria,6307244604.91352,318473277.27720803,8006713107.561836,14632430989.752563
BHR,Bahrain,122463293.49744415,36462888.99857712,307387512.6639404,466313695.1599617
BHS,Bahamas,215148465.57207155,24509875.601588964,50051205.680368185,289709546.8540287
BIH,Bosnia & Herzegovina,1011947019.1694163,1381508604.4911876,2776260954.568857,5169716578.229462
BLR,Belarus,2595399150.184526,393570833.50177515,16233434922.672525,19222404906.358826
BLZ,Belize,246879693.46663475,52704026.9436512,9139396.801040173,308723117.2113261
BMU,Bermuda,6137367.10546875,15946624.553405762,67609902.82006836,89693894.47894287
BOL,Bolivia,10745583389.433422,174933156.55025974,1227789188.2359912,12148305734.219673
BRA,Brazil,168528775833.73453,13186521911.592424,54860951685.76806,236576249431.09503
BRB,Barbados,146675070.3112793,15759420.309020996,36627525.21520996,199062015.83551025
BRN,Brunei,362813242.52978706,74740173.25186825,33665059.30421078,471218475.0858661
BTN,Bhutan,797388790.4995465,105781096.26368067,47932298.11659178,951102184.879819
BWA,Botswana,2209290046.998081,12879381.75375646,39385468.851938136,2261554897.603776
CAF,Central African Republic,2805231291.5098877,5638462.049636126,59450153.94896841,2870319907.508492
CAN,Canada,3403311985.448696,4380808126.399558,59903380541.25893,67687500653.10718
CHE,Switzerland,1207191266.1662102,103273557.75995412,18827338502.98223,20137803326.908394
CHL,Chile,5372934463.268743,3497003377.096296,8510692847.052153,17380630687.41719
CHN,China,1608966272681.6597,28995647796.493767,1213688903501.2388,2851650823979.392
CIV,Côte d’Ivoire,12470088531.459045,194744127.85245323,380002229.194788,13044834888.506287
CMR,Cameroon,22794207223.4505,50316177.54079628,430357047.66842234,23274880448.659718
COD,Congo - Kinshasa,46015912342.763596,96567731.9886756,1089484726.5061977,47201964801.25847
COG,Congo - Brazzaville,3316813721.509758,7496205.788812637,63373218.10876002,3387683145.4073305
COL,Colombia,14786654757.38886,6260610299.50747,11835849983.892527,32883115040.788857
COM,Comoros,1006472686.9165039,8211625.805183411,55877121.24355316,1070561433.9652405
CPV,Cape Verde,243377086.43286133,69431275.86091232,13177684.567565918,325986046.86133957
CRI,Costa Rica,427513949.2999096,1271769859.91893,591594936.1843338,2290878745.4031734
CUB,Cuba,8398845100.785671,900699903.6174626,4119132181.8477297,13418677186.250862
CUW,Curaçao,18939153.536785126,2100297.263694763,21816899.426591873,42856350.22707176
CYM,Cayman Islands,68871523.33559346,7507575.390227079,9720230.519840598,86099329.24566114
CYP,Cyprus,35334524.72010279,184743173.0427246,182949041.142004,403026738.9048314
CZE,Czechia,1139515433.0495453,1248167574.2702346,16769306894.894974,19156989902.214752
DEU,Germany,4908021642.964942,4545119440.553011,185989393295.01688,195442534378.53482
DJI,Djibouti,1364124316.4375,2739205.3564453125,15246430.32421875,1382109952.118164
DMA,Dominica,99861817.66968727,10758926.29937172,8191114.499992371,118811858.46905136
DNK,Denmark,1394039041.9951992,169508628.85112673,12411777645.250116,13975325316.096443
DOM,Dominican Republic,4687835746.184829,813321223.8581657,906181570.3813496,6407338540.424344
DZA,Algeria,10521255285.759138,2768485491.734019,57200170188.71228,70489910966.20544
ECU,Ecuador,5814306738.007644,1740674998.2753205,6813563369.271837,14368545105.554802
EGY,Egypt,10871599169.905163,13984504376.24281,101612587524.81506,126468691070.96304
ERI,Eritrea,3779242908.7824707,8419281.960235596,78563444.58389282,3866225635.326599
ESP,Spain,2581849564.806294,172856008.46454138,125730569872.39845,128485275445.66928
EST,Estonia,568163133.2717562,37712761.35139127,2393294883.271756,2999170777.8949037
ETH,Ethiopia,64527015546.705894,142963070.29183984,1455811457.6548634,66125790074.652596
FIN,Finland,1365507944.5633821,4145742.0408863947,4634620036.431389,6004273723.035658
FLK,Falkland Islands,671501.5126798749,202591.69126105309,804585.1040272713,1678678.3079681993
FRA,France,4047319430.476222,3639296516.3311715,162290351754.25162,169976967701.05902
FSM,Micronesia (Federated States of),34393177.55519557,19013503.277885675,17593045.70414257,70999726.53722382
GAB,Gabon,2290289086.6674805,4998547.096767426,40411943.449193,2335699577.213441
GBR,United Kingdom,3219763835.211369,3237752976.068687,148040633766.00552,154498150577.28558
GEO,Georgia,7163739435.601088,44836589.45334089,698989045.3063779,7907565070.3608055
GHA,Ghana,19756328778.451294,94981575.06258011,479919711.2500286,20331230064.7639
GIB,Gibraltar,6166227.1435546875,10379577.360351562,29257735.67578125,45803540.1796875
GIN,Guinea,7800743054.9841,38265999.415000916,194184698.47262347,8033193752.871725
GLP,Guadeloupe,258429239.2818756,28032125.29285431,51675335.820287704,338136700.3950176
GMB,Gambia,1179204051.2165527,4882610.976074219,32845586.075304985,1216932248.267932
GNB,Guinea-Bissau,430614322.2713623,1814053.7755470276,22251055.701173782,454679431.7480831
GNQ,Equatorial Guinea,1035138618.5878906,12481561.412851334,136633437.5257492,1184253617.5264912
GRC,Greece,1472177816.3516078,2462107512.6704893,11909928408.004177,15844213737.026274
GRD,Grenada,64456648.732177734,6955619.500198364,11036933.634384155,82449201.86676025
GRL,Greenland,11243367.603399277,27986525.345191956,70911500.02127457,110141392.9698658
GTM,Guatemala,14733986558.37099,555801467.3292084,2875853737.164524,18165641762.864723
GUF,French Guiana,81365830.0173474,24324297.81169033,41710150.32731116,147400278.15634888
GUM,Guam,57106792.501363754,31356268.96602726,32912621.649311066,121375683.11670208
GUY,Guyana,412400846.04903233,122968704.66266751,23224672.558519483,558594223.2702193
HKG,Hong Kong SAR China,4373682700.689941,67780476.94865417,4152392634.6208496,8593855812.259445
HND,Honduras,5964033167.290508,614842284.2120335,1442958004.2449493,8021833455.747491
HRV,Croatia,451677470.8079393,754501336.7213821,3622094680.293772,4828273487.823093
HTI,Haiti,11246050366.220737,54815344.453321934,134635933.74428165,11435501644.41834
HUN,Hungary,6633209821.541584,334824543.7059046,10350019898.021845,17318054263.269333
IDN,Indonesia,89622487678.0612,31999908535.077312,56865233429.09632,178487629642.23483
IMN,Isle of Man,12042.07373046875,12361.6728515625,151656.265625,176060.01220703125
IND,India,811303386743.1089,46826103602.50786,21816183434.76996,879945673780.3867
IRL,Ireland,1150015548.6106715,1167913874.463412,4214070472.508272,6531999895.5823555
IRN,Iran,133300878910.52571,329296583.03757536,3095795423.605625,136725970917.16891
IRQ,Iraq,12176016445.486324,4426920018.2572365,3410298828.33063,20013235292.074192
ISL,Iceland,98526196.72306842,12042459.80429054,857475404.1810207,968044060.7083797
ITA,Italy,7903035072.004162,13250483028.083363,63493681487.81778,84647199587.9053
JAM,Jamaica,2676236030.696747,139554517.32176208,396659633.8604126,3212450181.8789215
JOR,Jordan,273897916.83917904,1272991965.9951477,1801295541.4321213,3348185424.266448
JPN,Japan,154805016749.24158,2385939590.7029753,52716035425.28737,209906991765.23193
KAZ,Kazakhstan,30465279311.412613,482054788.3743243,2211288135.66346,33158622235.450397
KEN,Kenya,35923422399.88135,133806550.4062466,1941139463.1711702,37998368413.45877
KGZ,Kyrgyzstan,12868373348.158924,25905293.90168187,200324289.97678566,13094602932.037392
KHM,Cambodia,7780173505.485772,1407166426.0292854,1093065068.2125206,10280404999.727577
KIR,Kiribati,113637051.71777344,62398229.919677734,16255719.254394531,192291000.8918457
KOR,South Korea,64468771945.35944,993336949.6073178,22909309879.459934,88371418774.4267
KWT,Kuwait,1210343030.4688387,360427472.6701679,1041867977.3437157,2612638480.4827223
LAO,Laos,9102189583.309793,247663823.97654724,153414944.77628297,9503268352.062624
LBN,Lebanon,1689376600.8386822,503086541.2056507,1165961340.2458582,3358424482.290191
LBR,Liberia,2115340126.774723,12050085.035513401,45247426.76854038,2172637638.578777
LBY,Libya,3175639158.2449775,572990304.854305,1046054959.2295933,4794684422.328876
LCA,St. Lucia,47615567.71154785,46308103.80053711,15650032.599834442,109573704.1119194
LIE,Liechtenstein,1448279.9158325195,1348865.874141693,96607475.67822266,99404621.46819687
LKA,Sri Lanka,16093753733.31643,68716924.8595565,660280662.6671152,16822751320.843102
LSO,Lesotho,2413621344.433075,4993844.298066348,42766002.41303879,2461381191.14418
LTU,Lithuania,1266824010.6800182,154265738.8873805,7187160095.34219,8608249844.909588
LUX,Luxembourg,50018957.822151184,62743464.41307306,1371696523.0495787,1484458945.284803
LVA,Latvia,711322802.9814245,30854026.683305517,3669080231.4840508,4411257061.148781
MAC,Macau SAR China,53387194,960067.1875,14337012.9375,68684274.125
MAR,Morocco,25690057526.609863,6034229037.751285,3619278612.547526,35343565176.908676
MCO,Monaco,1358333.203125,1275730.734375,101081686,103715749.9375
MDA,Moldova,6066367187.321203,143549287.8851826,388348124.6229873,6598264599.829372
MDG,Madagascar,23012548767.960663,84089557.99064326,336617823.4844721,23433256149.435776
MDV,Maldives,283822296.758091,261285286.1354159,359402764.89541626,904510347.7889231
MEX,Mexico,49782651770.71435,15216281115.626865,99853532254.79553,164852465141.13675
MHL,Marshall Islands,67076354.649250984,14785767.772800446,3538391.0924491882,85400513.51450062
MKD,Macedonia,1488832703.4966516,256529802.83590746,1668045163.8761072,3413407670.2086663
MLI,Mali,25822816607.39494,63559996.06715661,439950678.6530336,26326327282.11513
MLT,Malta,29820699.716133118,50150996.94618225,439770063.25,519741759.91231537
MMR,Myanmar (Burma),82307301340.68951,545627604.2711067,1179726815.3759408,84032655760.33656
MNE,Montenegro,151717770.2365322,200942299.38714218,233196254.4252653,585856324.0489397
MNG,Mongolia,5814059773.96179,12188054.952197503,329815402.53744555,6156063231.451433
MNP,Northern Mariana Islands,24074120.842910767,13226851.565958977,9932317.400810242,47233289.809679985
MOZ,Mozambique,15878443389.14197,43467069.7447803,347080405.7020909,16268990864.58884
MRT,Mauritania,5562314344.882029,73575893.81319654,157185376.76548946,5793075615.460714
MSR,Montserrat,5556880.591308594,595322.0172119141,650666.6760253906,6802869.284545898
MTQ,Martinique,299362171.578537,32198037.981399536,49028610.56863403,380588820.12857056
MUS,Mauritius,274465928.0258179,5352224.258176804,162025965.6196289,441844117.9036236
MWI,Malawi,15081821332.54843,38771338.31377263,335016792.242463,15455609463.104664
MYS,Malaysia,18712236624.637802,3886896646.272921,2074191341.759047,24673324612.669773
MYT,Mayotte,278724100.5234375,565891.0771408081,3560037.8291625977,282850029.4297409
NAM,Namibia,1588156963.0080295,5974174.162169088,801067530.399041,2395198667.5692396
NER,Niger,31608477890.978607,67894134.82349682,429884918.45435834,32106256944.256462
NGA,Nigeria,127261775655.39128,1373631958.372365,11985891071.52525,140621298685.28888
NIC,Nicaragua,8080687376.395073,60415870.12539196,167864015.80001163,8308967262.320477
NIU,Niue,53983.88417053223,96112.48698425293,38586.32894229889,188682.70009708405
NLD,Netherlands,815924825.8642064,261704319.50996128,47859358945.291534,48936988090.6657
NOR,Norway,609099584.8506986,73933506.69613364,11696602228.104721,12379635319.651554
NPL,Nepal,23360184223.776615,3525840132.176962,1025292348.6051855,27911316704.55876
NRU,Nauru,6258203.984375,3432506.9296875,1647034.1171875,11337745.03125
OMN,Oman,1061321410.595746,1615015152.4967995,169748511.18054295,2846085074.2730885
PAK,Pakistan,97603320504.78041,13512984548.69509,17667608319.830044,128783913373.30554
PAN,Panama,2171380773.5959606,250437075.14473534,552512960.1721201,2974330808.912816
PER,Peru,26990859451.878925,1985080841.9189076,10962626310.318058,39938566604.11589
PHL,Philippines,35027314548.90195,15378023495.567892,4672813690.07612,55078151734.54596
PLW,Palau,1955974.9716186523,11450572.444824219,6276887.423828125,19683434.840270996
PNG,Papua New Guinea,14296246432.83496,75494010.79288101,480726884.2676544,14852467327.895496
POL,Poland,34999022643.469185,1767318802.6398463,52880809932.44,89647151378.54904
PRI,Puerto Rico,2249812014.402321,245599091.37041187,537538381.455875,3032949487.2286077
PRK,North Korea,46232483797.79266,1604721669.7093804,11037510021.050919,58874715488.55296
PRT,Portugal,1610521170.584905,1695612929.6751072,9832733653.065073,13138867753.325085
PRY,Paraguay,2588022298.4458065,188812454.10991156,146818186.56564212,2923652939.12136
PSE,Palestinian Territories,482526851.9269047,466873136.75415325,860763829.4561462,1810163818.1372042
PYF,French Polynesia,120030982.09815979,87520690.65667725,6426779.5968055725,213978452.3516426
QAT,Qatar,559992725.1882229,166846861.2351141,619948632.6318321,1346788219.055169
REU,Réunion,270928880.12610626,576781.7500934601,13420991.213135242,284926653.08933496
ROU,Romania,22580901371.105213,1140151200.613024,26961781286.65064,50682833858.36888
RUS,Russia,112600890362.82066,2293331300.9751124,158477746786.306,273371968450.10178
RWA,Rwanda,7603744546.771362,15264204.584646702,172924490.51873398,7791933241.8747425
SAU,Saudi Arabia,10054307404.581448,2995121504.4896703,7263718587.393708,20313147496.464825
SDN,Sudan,46480837535.72005,102568794.25680685,741711615.9982255,47325117945.975075
SEN,Senegal,9702093970.572304,464348704.0947895,259509428.1453209,10425952102.812414
SGP,Singapore,1061277764.0175781,217648557.25842285,480823501.18105316,1759749822.4570541
SHN,St. Helena,267463.14920043945,20464.72113609314,136245.76793193817,424173.63826847076
SLB,Solomon Islands,585725383.3166885,17932148.335342407,86418482.41572285,690076014.0677538
SLE,Sierra Leone,5116269313.644287,11007448.902404785,95271038.39534897,5222547800.94204
SLV,El Salvador,6036402823.071617,253713591.5871687,146921498.23962212,6437037912.898408
SMR,San Marino,3127134.344970703,5252156.025146484,30740953.098388672,39120243.46850586
SOM,Somalia,12031744040.060314,25127071.666924536,276613123.5491595,12333484235.2764
SRB,Serbia,771301571.8045695,1767033275.470883,3254893078.6205893,5793227925.896042
SSD,South Sudan,15136487243.09607,43186268.64880943,220545524.69315028,15400219036.438028
STP,São Tomé & Príncipe,105850534.86914062,366994.171295166,21165016.98284912,127382546.02328491
SUR,Suriname,133079915.84841192,66342163.49276447,9182227.189620577,208604306.53079697
SVK,Slovakia,845024472.1287503,872703704.9263883,5760097446.146011,7477825623.20115
SVN,Slovenia,352852235.4386332,590538298.5077996,2029336125.790412,2972726659.736845
SWE,Sweden,298787445.81797963,434209720.5869668,21180392197.40085,21913389363.805794
SWZ,Swaziland,1580293112.8569336,11153786.137163162,59834447.74635315,1651281346.74045
SXM,Sint Maarten,4772283.739196777,510315.8912963867,4598405.969421387,9881005.59991455
SYC,Seychelles,236955752.828125,479735.0796508789,2320038.713470459,239755526.62124634
SYR,Syria,12063448073.93301,581677440.797524,19737189728.497368,32382315243.2279
TCA,Turks & Caicos Islands,33815146.48365784,3745815.4989624023,4753808.4920425415,42314770.47466278
TCD,Chad,13230079555.571434,26686381.503658354,229156779.93218005,13485922717.007273
TGO,Togo,3862669379.959961,24053385.447303772,114042604.81182337,4000765370.219088
THA,Thailand,3629476426.1310577,12195638049.204227,5545375008.095955,21370489483.43124
TJK,Tajikistan,12899173430.275818,25896237.372355737,193358617.9225049,13118428285.570679
TKM,Turkmenistan,5883905306.599047,14972743.121823423,283059889.1936946,6181937938.914564
TLS,Timor-Leste,1136392167.1364136,30012489.31387329,164930833.39447403,1331335489.844761
TON,Tonga,42325279.948394775,28210118.750915527,2183702.010954857,72719100.71026516
TTO,Trinidad & Tobago,970702709.3832855,104872343.36997986,167187243.29556656,1242762296.048832
TUN,Tunisia,5656943971.78553,1530478469.6435537,2579719160.7933044,9767141602.22239
TUR,Turkey,20748845884.835335,13682483508.612028,99340083611.08037,133771413004.52774
TUV,Tuvalu,8292439.312744141,1075079.4369068146,12100242.538452148,21467761.288103104
TZA,Tanzania,40369171935.39508,183258611.46835232,850136008.2367668,41402566555.100204
UGA,Uganda,18258112337.699707,39361899.87552762,546682156.6069288,18844156394.182163
UKR,Ukraine,69196507263.61566,412014548.89038575,5632224091.512499,75240745904.01854
URY,Uruguay,313006435.09767437,476504947.7611253,306637450.24237144,1096148833.101171
USA,United States,14386757008.5728,61815429451.333916,324577322492.35486,400779508952.2616
UZB,Uzbekistan,39872370332.346405,80143115.85917795,895922055.3882961,40848435503.59388
VCT,St. Vincent & Grenadines,109615634.75292969,11806537.721557617,13915335.798231125,135337508.27271843
VEN,Venezuela,11060895590.11107,3302121684.677633,4022365162.324724,18385382437.113426
VGB,British Virgin Islands,21624983.071065903,2502002.2286777496,3787740.732567787,27914726.03231144
VIR,U.S. Virgin Islands,47694064.062072754,5468581.368713379,16185826.082361221,69348471.51314735
VNM,Vietnam,52600360595.5962,12589068264.9872,2038774055.9412112,67228202916.524605
VUT,Vanuatu,316898893.03463364,10638479.227104187,55753532.39119005,383290904.6529279
WSM,Samoa,69132680.71710205,76352332.46884155,4353762.8289728165,149838776.01491642
YEM,Yemen,18180809784.712643,1757931296.5821872,3229173564.5295095,23167914645.82434
ZAF,South Africa,44782663241.14261,432875170.7952127,8274820470.191488,53490358882.12931
ZMB,Zambia,12517005593.647842,26438866.331036568,257475740.68947616,12800920200.668354
ZWE,Zimbabwe,13450718535.15747,49622026.22397113,443600903.6868706,13943941465.068312
